coreType;CPUmodel;numberCPUs;CPU_model_n_cores;tdpCPU;CPU_die_area;usageCPUradio;usageCPU;GPUmodel;numberGPUs;tdpGPU;GPU_die_area;GPU_memory;usageGPUradio;usageGPU;memory;runTime_hour;runTime_min;platformType;locationContinent;locationCountry;locationRegion;provider;serverContinent;server;location;carbonIntensity;PUE;PUEradio;mult_factor;mult_factor_radio;appVersion;energy_needed;carbonEmissions;manufacturing_carbonEmissions;manufacturing_abiotic_resources;runTime;power_needed;CE_CPU;CE_GPU;CE_core;CE_memory;manufacturing_CE_CPU;manufacturing_CE_GPU;manufacturing_CE_memory;manufacturing_CE_other;manufacturing_ADP_CPU;manufacturing_ADP_GPU;manufacturing_ADP_memory;manufacturing_ADP_other
string;string;unit;unit;Watt;cm2;< 1;string;string;unit;Watt;cm2;GB;str;< 1;GB;hour;minutes;string;string;string;string;string;string;string;string;gCO2e/kWh;> 1;string;> 0;string;string;kWh;gCO2e;gCO2e;kgSbe;hour;Watt;gCO2e;gCO2e;gCO2e;gCO2e;gCO2e;gCO2e;gCO2e;gCO2e;kgSbe;kgSbe;kgSbe;kgSbe
CPU;Xeon Platinum 8260;925;24;165;0;No;1;None;0;0;0;0;No;1;3840;336842;0;localServer;Europe;France;FR;None;None;None;FR;51.28;1.43;Yes;1;No;v3.0;3752210.4484865;192413351.79838774;0;0;336842;11139.37825;157081386.701525;0;157081386.701525;35331965.096862726;0;0;0;0;0;0;0;0
